yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
P05556	P05556	reviewed	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	Homo sapiens (Human)	798	ITGB1	ITB1_HUMAN	CARBOHYD 50 50 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 94 94 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 97 97 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 212 212 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 269 269 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22451694}.; CARBOHYD 363 363 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 406 406 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:22451694}.; CARBOHYD 417 417 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 481 481 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 520 520 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 584 584 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 669 669 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P05783	P05783	reviewed	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Homo sapiens (Human)	430	KRT18	K1C18_HUMAN	CARBOHYD 30 30 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20729549, ECO:0000269|PubMed:7538124}. /FTId=CAR_000175.; CARBOHYD 31 31 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20729549, ECO:0000269|PubMed:7538124}. /FTId=CAR_000193.; CARBOHYD 49 49 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20729549, ECO:0000269|PubMed:7538124}. /FTId=CAR_000194.
P05787	P05787	reviewed	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	Homo sapiens (Human)	483	KRT8	K2C8_HUMAN	
P06396	P06396	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	Homo sapiens (Human)	782	GSN	GELS_HUMAN	
P06493	P06493	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Homo sapiens (Human)	297	CDK1	CDK1_HUMAN	
P06576	P06576	reviewed	ATP synthase subunit beta, mitochondrial (EC 3.6.3.14) (ATP synthase F1 subunit beta)	Homo sapiens (Human)	529	ATP5F1B	ATPB_HUMAN	CARBOHYD 106 106 O-linked (GlcNAc) serine. {ECO:0000250}.
P06702	P06702	reviewed	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	Homo sapiens (Human)	114	S100A9	S10A9_HUMAN	
P06733	P06733	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	Homo sapiens (Human)	434	ENO1	ENOA_HUMAN	
P06737	P06737	reviewed	Glycogen phosphorylase, liver form (EC 2.4.1.1)	Homo sapiens (Human)	847	PYGL	PYGL_HUMAN	
P06744	P06744	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)	Homo sapiens (Human)	558	GPI	G6PI_HUMAN	
P06748	P06748	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Homo sapiens (Human)	294	NPM1	NPM_HUMAN	
P06753	P06753	reviewed	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)	Homo sapiens (Human)	285	TPM3	TPM3_HUMAN	
P06756	P06756	reviewed	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	Homo sapiens (Human)	1048	ITGAV	ITAV_HUMAN	CARBOHYD 74 74 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:28117447}.; CARBOHYD 290 290 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 296 296 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 488 488 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 554 554 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:28117447}.; CARBOHYD 615 615 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:28117447}.; CARBOHYD 704 704 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 835 835 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 851 851 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 874 874 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 945 945 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 973 973 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 980 980 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P07195	P07195	reviewed	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	Homo sapiens (Human)	334	LDHB	LDHB_HUMAN	
P07199	P07199	reviewed	Major centromere autoantigen B (Centromere protein B) (CENP-B)	Homo sapiens (Human)	599	CENPB	CENPB_HUMAN	
P07203	P07203	reviewed	Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase)	Homo sapiens (Human)	203	GPX1	GPX1_HUMAN	
P07237	P07237	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Homo sapiens (Human)	508	P4HB	PDIA1_HUMAN	
P07305	P07305	reviewed	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	Homo sapiens (Human)	194	H1F0	H10_HUMAN	
P07355	P07355	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Homo sapiens (Human)	339	ANXA2	ANXA2_HUMAN	
P07384	P07384	reviewed	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP)	Homo sapiens (Human)	714	CAPN1	CAN1_HUMAN	
P07437	P07437	reviewed	Tubulin beta chain (Tubulin beta-5 chain)	Homo sapiens (Human)	444	TUBB	TBB5_HUMAN	
P07476	P07476	reviewed	Involucrin	Homo sapiens (Human)	585	IVL	INVO_HUMAN	
P07477	P07477	reviewed	Trypsin-1 (EC 3.4.21.4) (Beta-trypsin) (Cationic trypsinogen) (Serine protease 1) (Trypsin I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	Homo sapiens (Human)	247	PRSS1	TRY1_HUMAN	
P07602	P07602	reviewed	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	Homo sapiens (Human)	524	PSAP	SAP_HUMAN	CARBOHYD 80 80 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329, ECO:0000269|PubMed:2842863}.; CARBOHYD 101 101 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329, ECO:0000269|PubMed:2842863}.; CARBOHYD 215 215 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:11180632, ECO:0000269|PubMed:19167329}. /FTId=CAR_000176.; CARBOHYD 332 332 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329}.; CARBOHYD 426 426 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00415, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19167329}.
P07737	P07737	reviewed	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	Homo sapiens (Human)	140	PFN1	PROF1_HUMAN	
P07814	P07814	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	Homo sapiens (Human)	1512	EPRS	SYEP_HUMAN	
P07858	P07858	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	Homo sapiens (Human)	339	CTSB	CATB_HUMAN	CARBOHYD 192 192 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:3463996}.
P07910	P07910	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	Homo sapiens (Human)	306	HNRNPC	HNRPC_HUMAN	
P07942	P07942	reviewed	Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta)	Homo sapiens (Human)	1786	LAMB1	LAMB1_HUMAN	CARBOHYD 120 120 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 356 356 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 519 519 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 677 677 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1041 1041 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1195 1195 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1279 1279 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.; CARBOHYD 1336 1336 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1343 1343 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1487 1487 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1542 1542 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P07947	P07947	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	Homo sapiens (Human)	543	YES1	YES_HUMAN	
P07951	P07951	reviewed	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	Homo sapiens (Human)	284	TPM2	TPM2_HUMAN	
P07954	P07954	reviewed	Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)	Homo sapiens (Human)	510	FH	FUMH_HUMAN	
P07996	P07996	reviewed	Thrombospondin-1 (Glycoprotein G)	Homo sapiens (Human)	1170	THBS1	TSP1_HUMAN	CARBOHYD 248 248 N-linked (GlcNAc...) asparagine. {ECO:0000305|PubMed:16263699, ECO:0000305|PubMed:16335952, ECO:0000305|PubMed:18065761}.; CARBOHYD 360 360 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 385 385 C-linked (Man) tryptophan. {ECO:0000269|PubMed:11067851}. /FTId=CAR_000205.; CARBOHYD 394 394 O-linked (Fuc...) serine. {ECO:0000269|PubMed:11067851}. /FTId=CAR_000206.; CARBOHYD 438 438 C-linked (Man) tryptophan. {ECO:0000269|PubMed:11067851}. /FTId=CAR_000207.; CARBOHYD 441 441 C-linked (Man) tryptophan. {ECO:0000269|PubMed:11067851}. /FTId=CAR_000208.; CARBOHYD 450 450 O-linked (Fuc...) threonine. {ECO:0000269|PubMed:11067851, ECO:0000269|PubMed:12391027}. /FTId=CAR_000209.; CARBOHYD 498 498 C-linked (Man) tryptophan. {ECO:0000269|PubMed:11067851}. /FTId=CAR_000210.; CARBOHYD 507 507 O-linked (Fuc...) threonine. {ECO:0000269|PubMed:11067851, ECO:0000269|PubMed:12391027}. /FTId=CAR_000211.; CARBOHYD 708 708 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1067 1067 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:15014436, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:16740002, ECO:0000269|PubMed:19159218}.
P08069	P08069	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Homo sapiens (Human)	1367	IGF1R	IGF1R_HUMAN	CARBOHYD 51 51 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:9690478}.; CARBOHYD 102 102 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 135 135 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:9690478}.; CARBOHYD 244 244 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:9690478}.; CARBOHYD 314 314 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:9690478}.; CARBOHYD 417 417 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 438 438 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 534 534 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 607 607 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 622 622 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 640 640 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 747 747 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 756 756 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 764 764 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 900 900 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 913 913 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P08133	P08133	reviewed	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	Homo sapiens (Human)	673	ANXA6	ANXA6_HUMAN	
P08174	P08174	reviewed	Complement decay-accelerating factor (CD antigen CD55)	Homo sapiens (Human)	381	CD55	DAF_HUMAN	CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
P08183	P08183	reviewed	Multidrug resistance protein 1 (EC 3.6.3.44) (ATP-binding cassette sub-family B member 1) (P-glycoprotein 1) (CD antigen CD243)	Homo sapiens (Human)	1280	ABCB1	MDR1_HUMAN	CARBOHYD 91 91 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 94 94 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 99 99 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P08195	P08195	reviewed	4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	Homo sapiens (Human)	630	SLC3A2	4F2_HUMAN	CARBOHYD 365 365 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 381 381 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 424 424 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19349973}.; CARBOHYD 506 506 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.
P08237	P08237	reviewed	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	Homo sapiens (Human)	780	PFKM	PFKAM_HUMAN	CARBOHYD 530 530 O-linked (GlcNAc) serine. {ECO:0000250}.
P08238	P08238	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	Homo sapiens (Human)	724	HSP90AB1	HS90B_HUMAN	CARBOHYD 434 434 O-linked (GlcNAc) serine. {ECO:0000250}.; CARBOHYD 452 452 O-linked (GlcNAc) serine. {ECO:0000250}.
P08240	P08240	reviewed	Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha)	Homo sapiens (Human)	638	SRPRA	SRPRA_HUMAN	
P08243	P08243	reviewed	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	Homo sapiens (Human)	561	ASNS	ASNS_HUMAN	
P08253	P08253	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	Homo sapiens (Human)	660	MMP2	MMP2_HUMAN	CARBOHYD 573 573 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 642 642 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P08572	P08572	reviewed	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]	Homo sapiens (Human)	1712	COL4A2	CO4A2_HUMAN	CARBOHYD 138 138 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:3198637}.
P08621	P08621	reviewed	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	Homo sapiens (Human)	437	SNRNP70	RU17_HUMAN	
P08648	P08648	reviewed	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	Homo sapiens (Human)	1049	ITGA5	ITA5_HUMAN	CARBOHYD 84 84 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22451694}.; CARBOHYD 182 182 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22451694}.; CARBOHYD 297 297 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:22451694}.; CARBOHYD 307 307 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:22451694}.; CARBOHYD 316 316 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22451694}.; CARBOHYD 524 524 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 530 530 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 593 593 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 609 609 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22451694}.; CARBOHYD 675 675 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 712 712 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 724 724 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 773 773 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 868 868 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P08670	P08670	reviewed	Vimentin	Homo sapiens (Human)	466	VIM	VIME_HUMAN	CARBOHYD 7 7 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20068230}.; CARBOHYD 33 33 O-linked (GlcNAc) threonine. {ECO:0000269|PubMed:20068230}.; CARBOHYD 34 34 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20068230}.
P08708	P08708	reviewed	40S ribosomal protein S17 (Small ribosomal subunit protein eS17)	Homo sapiens (Human)	135	RPS17	RS17_HUMAN	
P08754	P08754	reviewed	Guanine nucleotide-binding protein G(k) subunit alpha (G(i) alpha-3)	Homo sapiens (Human)	354	GNAI3	GNAI3_HUMAN	
P08779	P08779	reviewed	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	Homo sapiens (Human)	473	KRT16	K1C16_HUMAN	
P09001	P09001	reviewed	39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3) (Mitochondrial large ribosomal subunit protein uL3m)	Homo sapiens (Human)	348	MRPL3	RM03_HUMAN	
P09012	P09012	reviewed	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)	Homo sapiens (Human)	282	SNRPA	SNRPA_HUMAN	
P09132	P09132	reviewed	Signal recognition particle 19 kDa protein (SRP19)	Homo sapiens (Human)	144	SRP19	SRP19_HUMAN	
P09180	P09180	reviewed	60S ribosomal protein L4 (L1)	Drosophila melanogaster (Fruit fly)	401	RpL4	RL4_DROME	
P09382	P09382	reviewed	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	Homo sapiens (Human)	135	LGALS1	LEG1_HUMAN	
P09429	P09429	reviewed	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	Homo sapiens (Human)	215	HMGB1	HMGB1_HUMAN	
P09493	P09493	reviewed	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	Homo sapiens (Human)	284	TPM1	TPM1_HUMAN	
P09496	P09496	reviewed	Clathrin light chain A (Lca)	Homo sapiens (Human)	248	CLTA	CLCA_HUMAN	
P09543	P09543	reviewed	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)	Homo sapiens (Human)	421	CNP	CN37_HUMAN	
P09619	P09619	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	Homo sapiens (Human)	1106	PDGFRB	PGFRB_HUMAN	CARBOHYD 45 45 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 89 89 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20534510}.; CARBOHYD 103 103 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20534510}.; CARBOHYD 215 215 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20534510}.; CARBOHYD 230 230 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20534510}.; CARBOHYD 292 292 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20534510}.; CARBOHYD 307 307 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20534510}.; CARBOHYD 354 354 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 371 371 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 468 468 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 479 479 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P09622	P09622	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)	Homo sapiens (Human)	509	DLD	DLDH_HUMAN	
P09874	P09874	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1)	Homo sapiens (Human)	1014	PARP1	PARP1_HUMAN	
P09958	P09958	reviewed	Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE)	Homo sapiens (Human)	794	FURIN	FURIN_HUMAN	CARBOHYD 387 387 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 440 440 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 553 553 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
P09960	P09960	reviewed	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase)	Homo sapiens (Human)	611	LTA4H	LKHA4_HUMAN	
P0C7P4	P0C7P4	reviewed	Putative cytochrome b-c1 complex subunit Rieske-like protein 1 (Ubiquinol-cytochrome c reductase Rieske iron-sulfur subunit pseudogene 1)	Homo sapiens (Human)	283	UQCRFS1P1	UCRIL_HUMAN	
P0C7U0	P0C7U0	reviewed	Protein ELFN1 (Extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1) (Protein phosphatase 1 regulatory subunit 28)	Homo sapiens (Human)	828	ELFN1	ELFN1_HUMAN	CARBOHYD 59 59 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 85 85 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 90 90 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 122 122 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 210 210 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 376 376 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
